"","id","host_id.x","neighbourhood_cleansed.x","room_type.x","price.x","number_of_reviews.x","last_review.x","reviews_per_month.x","host_id.y","neighbourhood_cleansed.y","room_type.y","price.y","number_of_reviews.y","last_review.y","reviews_per_month.y"
"14080",31423405,16272365,"Centrum-Oost","Entire home/apt",245,3,2019-06-06,0.14,16272365,"Centrum-Oost","Entire home/apt",245,3,2019-06-06,0.13
"14081",31426366,13095445,"De Pijp - Rivierenbuurt","Entire home/apt",150,2,2019-08-22,0.11,13095445,"De Pijp - Rivierenbuurt","Entire home/apt",150,2,2019-08-22,0.1
"14082",31429425,62883142,"Bos en Lommer","Entire home/apt",90,0,NA,NA,62883142,"Bos en Lommer","Entire home/apt",90,0,NA,NA
"14083",31431333,21081740,"De Baarsjes - Oud-West","Entire home/apt",200,4,2020-01-02,0.18,21081740,"De Baarsjes - Oud-West","Entire home/apt",200,4,2020-01-02,0.17
"14084",31433034,52210234,"De Baarsjes - Oud-West","Private room",70,2,2019-01-28,0.09,52210234,"De Baarsjes - Oud-West","Private room",70,2,2019-01-28,0.08
"14085",31433305,8657706,"Centrum-Oost","Entire home/apt",211,3,2019-09-12,0.14,8657706,"Centrum-Oost","Entire home/apt",211,3,2019-09-12,0.14
"14086",31439512,47121092,"Westerpark","Entire home/apt",130,6,2019-11-19,0.26,47121092,"Westerpark","Entire home/apt",130,6,2019-11-19,0.25
"14087",31452672,235406893,"Centrum-Oost","Private room",165,4,2020-01-11,0.2,235406893,"Centrum-Oost","Private room",165,4,2020-01-11,0.19
"14088",31453479,235406893,"Centrum-Oost","Private room",165,15,2019-11-25,0.68,235406893,"Centrum-Oost","Private room",165,15,2019-11-25,0.65
"14089",31454769,235406893,"Centrum-Oost","Private room",330,2,2019-10-20,0.13,235406893,"Centrum-Oost","Private room",330,2,2019-10-20,0.12
"14090",31456457,235639807,"De Pijp - Rivierenbuurt","Entire home/apt",65,6,2019-03-03,0.26,235639807,"De Pijp - Rivierenbuurt","Entire home/apt",65,6,2019-03-03,0.25
"14091",31460930,235678924,"Slotervaart","Entire home/apt",98,12,2019-04-02,0.52,235678924,"Slotervaart","Entire home/apt",98,12,2019-04-02,0.5
"14092",31466113,5902496,"Zuid","Entire home/apt",75,2,2019-04-22,0.09,5902496,"Zuid","Entire home/apt",75,2,2019-04-22,0.09
"14093",31466799,174165948,"De Pijp - Rivierenbuurt","Private room",70,1,2019-03-04,0.05,174165948,"De Pijp - Rivierenbuurt","Private room",70,1,2019-03-04,0.04
"14094",31481840,6983078,"Oud-Oost","Entire home/apt",200,10,2020-01-01,0.43,6983078,"Oud-Oost","Entire home/apt",200,10,2020-01-01,0.41
"14095",31485679,14874061,"Centrum-West","Entire home/apt",100,35,2020-11-09,1.54,14874061,"Centrum-West","Entire home/apt",100,35,2020-11-09,1.48
"14096",31486068,21800150,"Oud-Oost","Entire home/apt",168,1,2019-02-09,0.04,21800150,"Oud-Oost","Entire home/apt",168,1,2019-02-09,0.04
"14097",31488475,13405827,"Centrum-Oost","Hotel room",180,23,2020-10-04,1,13405827,"Centrum-Oost","Hotel room",180,23,2020-10-04,0.96
"14098",31493031,204205776,"Zuid","Private room",133,1,2019-02-15,0.04,204205776,"Zuid","Private room",133,1,2019-02-15,0.04
"14099",31502313,26688955,"Noord-West","Entire home/apt",300,0,NA,NA,26688955,"Noord-West","Entire home/apt",300,0,NA,NA
"14100",31502527,36255164,"Oud-Oost","Private room",390,1,2019-02-03,0.04,36255164,"Oud-Oost","Private room",199,1,2019-02-03,0.04
"14101",31505745,14199829,"De Baarsjes - Oud-West","Private room",45,5,2019-04-29,0.23,14199829,"De Baarsjes - Oud-West","Private room",45,5,2019-04-29,0.22
"14102",31506891,33217887,"De Pijp - Rivierenbuurt","Entire home/apt",135,15,2020-07-19,0.66,33217887,"De Pijp - Rivierenbuurt","Entire home/apt",135,15,2020-07-19,0.63
"14103",31512972,6659143,"Bos en Lommer","Entire home/apt",80,3,2019-11-29,0.14,6659143,"Bos en Lommer","Entire home/apt",80,3,2019-11-29,0.13
"14104",31534495,136229841,"De Aker - Nieuw Sloten","Entire home/apt",200,12,2019-10-21,0.59,136229841,"De Aker - Nieuw Sloten","Entire home/apt",200,12,2019-10-21,0.57
"14105",31536003,4145047,"De Baarsjes - Oud-West","Entire home/apt",180,8,2019-11-04,0.48,4145047,"De Baarsjes - Oud-West","Entire home/apt",180,8,2019-11-04,0.45
"14106",31537366,236355790,"Oud-Noord","Private room",60,0,NA,NA,236355790,"Oud-Noord","Private room",60,0,NA,NA
"14107",31551118,236480840,"Oud-Oost","Entire home/apt",91,5,2019-12-31,0.23,236480840,"Oud-Oost","Entire home/apt",91,5,2019-12-31,0.22
"14108",31552683,227214431,"Westerpark","Entire home/apt",380,7,2020-01-02,0.31,227214431,"Westerpark","Entire home/apt",409,7,2020-01-02,0.3
"14109",31555059,42771686,"Geuzenveld - Slotermeer","Entire home/apt",120,2,2019-07-14,0.1,42771686,"Geuzenveld - Slotermeer","Entire home/apt",120,2,2019-07-14,0.09
"14110",31563253,82893782,"De Pijp - Rivierenbuurt","Entire home/apt",220,9,2020-02-14,0.54,82893782,"De Pijp - Rivierenbuurt","Entire home/apt",220,9,2020-02-14,0.51
"14111",31564910,17330573,"Oud-Oost","Entire home/apt",120,2,2019-09-12,0.11,17330573,"Oud-Oost","Entire home/apt",120,2,2019-09-12,0.1
"14112",31564955,236596707,"Bos en Lommer","Entire home/apt",110,7,2019-03-19,0.31,236596707,"Bos en Lommer","Entire home/apt",110,7,2019-03-19,0.3
"14113",31565499,9743150,"De Pijp - Rivierenbuurt","Entire home/apt",125,4,2019-09-01,0.18,9743150,"De Pijp - Rivierenbuurt","Entire home/apt",125,4,2019-09-01,0.17
"14114",31581670,65859990,"Westerpark","Entire home/apt",229,1,2019-02-10,0.04,65859990,"Westerpark","Entire home/apt",173,1,2019-02-10,0.04
"14115",31582709,14537613,"Zuid","Private room",180,25,2020-08-05,1.1,14537613,"Zuid","Private room",180,25,2020-08-05,1.06
"14116",31584388,65859990,"De Baarsjes - Oud-West","Entire home/apt",201,7,2019-03-10,0.31,65859990,"De Baarsjes - Oud-West","Entire home/apt",157,7,2019-03-10,0.3
"14117",31590837,22033000,"Oud-Oost","Entire home/apt",105,6,2020-02-27,0.35,22033000,"Oud-Oost","Entire home/apt",105,6,2020-02-27,0.34
"14118",31592974,236825855,"De Baarsjes - Oud-West","Entire home/apt",130,6,2019-07-19,0.27,236825855,"De Baarsjes - Oud-West","Entire home/apt",130,6,2019-07-19,0.26
"14119",31593859,17442772,"Oostelijk Havengebied - Indische Buurt","Private room",125,1,2019-01-23,0.04,17442772,"Oostelijk Havengebied - Indische Buurt","Private room",125,1,2019-01-23,0.04
"14120",31605171,32480170,"Bos en Lommer","Private room",120,1,2019-04-28,0.05,32480170,"Bos en Lommer","Private room",120,1,2019-04-28,0.05
"14121",31605566,236931165,"De Aker - Nieuw Sloten","Private room",54,107,2020-10-05,4.85,236931165,"De Aker - Nieuw Sloten","Private room",77,107,2020-10-05,4.65
"14122",31606186,46827833,"Slotervaart","Entire home/apt",180,3,2019-07-03,0.15,46827833,"Slotervaart","Entire home/apt",180,3,2019-07-03,0.15
"14123",31607829,7982681,"De Baarsjes - Oud-West","Entire home/apt",110,20,2020-09-21,0.89,7982681,"De Baarsjes - Oud-West","Entire home/apt",110,20,2020-09-21,0.85
